No,Class Name,Instructor,Date,Time
Red Hat Enterprise Linux Intensive (Diploma in Cloud Cyber Security),Kazim Shaikh,"19-01-2025, 26-01-2025",11:00 AM (PKT) / 1:00 AM (EST)
AWS Solution Architecture (Diploma in SysOps & Cloud Advancement),Kazim Shaikh,25-01-2025,11:00 AM (PKT) / 1:00 AM (EST)
Live Classes with Muhammad Faisal,Mohammad Faisal,TBD,TBD
"Programming in Ethereum, dAPPs & Web3.0, DeFi, NFT and Tokens & Role of Security (Advanced Certificate in Blockchain)",Farhan Khan,TBD,1:00 PM (PKT) / 4:00 AM (EST)
"Python Programming, Deep Learning, Machine Learning (Diploma in Artificial Intelligence Advancement)",Dr. Awais Butt,TBD,10:30 PM (PKT) / 1:30 PM (EST)
Elasticsearch SOC Engineer (Diploma in Cloud Cyber Security),Muhammad Abdullah Tariq,"25-01-2025, 26-01-2025",3:00 PM (PKT) / 5:00 AM (EST)
Elasticsearch Threat Hunting and Observability Engineer (Diploma in Cloud Cyber Security),Osama Anwer,TBD,4:00 PM (PKT) / 7:00 AM (EST)
Elasticsearch for Data Science and Analytics with Kibana (Diploma in Cloud Cyber Security),Saira Kaleem,"11-01-2025, 18-01-2025",11:00 AM (PKT) / 1:00 AM (EST)
DevOps Automation Tools Deep Dive (Diploma in DevOps and Cloud Advancement),Abde Ali Dodia,"04-01-2025, 11-01-2025",1:30 PM (PKT) / 4:30 AM (EST)
"Cloud Security Professional, Cloud Security Standards & ISSAP Architecture (Diploma in SysOps & Cloud Advancement)",Mohammad Faisal,TBD,10:30 PM (PKT) / 12:30 PM (EST)
Internship Program (All Al Nafi Diploma Students),Mohammad Faisal,TBD,11:30 PM (PKT) / 1:30 PM (EST)
"NPT, VA and WSTG Labs (Diploma in Cloud Cyber Security)",Muhammad Husnain,"18-01-2025, 19-01-2025",2:00 PM (PKT) / 4:00 AM (EST)
Artificial Intelligence (Diploma in Artificial Intelligence Advancement),Dr. Saleha Raza,TBD,9:00 PM (PKT) / 12:00 PM (EST)
IELTS Academic & General Training (Diploma in Cloud Cyber Security),Osman Abdul Khaliq,Monday to Friday,11:30 AM (PKT) / 1:30 AM (EST)
DevOps Open Source Tools (Diploma in DevOps & Cloud Advancement),Zarmeena Anwer,TBD,9:00 PM (PKT) / 11:00 AM (EST)
Live Class of Kubernetes Courses (Diploma in DevOps and Cloud Advancement),Shams Ur Rehman,TBD,3:00 PM (PKT) / 6:00 AM (EST)
LinkedIn Course For Job Seekers (Diploma in Cloud Cyber Security),Hammad Siddiqui,"22-01-2025, 05-02-2025",8:00 PM (PKT) / 10:00 AM (EST)
Microsoft Azure Administrator (Diploma in SysOps & Cloud Advancement),Saira Kaleem,"05-01-2025, 26-01-2025",7:00 PM (PKT) / 9:00 AM (EST)
"VA, WAP, WSTG, NTP, MDD & Mitre Att&ck Deep Dive (Certificate in Offensive Cyber Security)",Muhammad Husnain,"18-01-2025, 19-01-2025",3:00 PM (PKT) / 5:00 AM (EST)
